brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Hyundai,Manual,2023,Petrol,7.088408778675395,2850.0,1st owner,13.47302165746721,9.53834831589953,No,GRAND,2
MG,Automatic,2022,Petrol,7.280697195384741,26999.0,1st owner,14.139404735705671,10.146918907547057,No,HECTOR,3
Tata,Manual,2023,Petrol,7.090076835776092,12096.0,1st owner,13.28787951079572,9.352707613263105,No,TIGOR,2
Honda,Automatic,2017,Petrol,7.311886164077165,65434.0,2nd owner,13.575984798046763,9.641668139610074,No,City,8
Hyundai,Manual,2020,Diesel,7.309212365692763,48995.0,1st owner,13.87378040948403,9.912298620814678,Yes,Verna,5
Ford,Manual,2018,Petrol,7.085901464365611,66584.0,1st owner,13.112315061750808,9.177403871729918,No,FREESTYLE,7
Maruti,Manual,2020,Petrol,7.288244401020124,24961.0,1st owner,13.68540301156877,9.723942138688924,No,Ciaz,5
Maruti,Manual,2019,Petrol,7.088408778675395,33972.0,1st owner,13.1499804899607,9.21453157659465,No,Dzire,6
Tata,Manual,2022,CNG,7.090076835776092,22874.0,1st owner,13.435714658591923,9.50061907027523,No,Tiago,3
Maruti,Manual,2019,Petrol,7.088408778675395,109938.0,1st owner,13.277657974137664,9.47247384058159,Yes,Dzire,6
Maruti,Manual,2019,Petrol,6.705639094860003,60452.0,1st owner,12.663500657121004,8.728264161496178,No,Alto,6
Maruti,Automatic,2016,Petrol,6.906754778648554,32747.0,1st owner,12.884108726347916,8.950143756459262,Yes,Celerio,9
KIA,Automatic,2022,Diesel,7.309212365692763,34694.0,1st owner,14.139404735705671,10.146918907547057,No,CARENS,3
Maruti,Manual,2019,Petrol,7.088408778675395,51244.0,1st owner,13.064736383209516,9.129672468908728,Yes,IGNIS,6
Renault,Manual,2023,Petrol,6.907755278982137,6843.0,1st owner,13.362955414648066,9.42778773074551,No,TRIBER,2
Ford,Automatic,2019,Petrol,7.311218384419629,20751.0,1st owner,13.599840262182784,9.638414622945206,No,Ecosport,6
Tata,Automatic,2023,Petrol,7.090076835776092,16393.0,1st owner,13.41204494952365,9.477079667408038,Yes,PUNCH,2
Honda,Automatic,2017,Petrol,7.311886164077165,74671.0,1st owner,13.631588921725701,9.670104253491726,No,City,8
Hyundai,Manual,2017,Petrol,7.3727463664043285,94020.0,1st owner,13.615840583835682,9.654577374584886,No,Verna,8
Mahindra,Automatic,2021,Diesel,7.513709247839705,25366.0,1st owner,14.139404735705671,10.146918907547057,No,XUV500,4
Maruti,Manual,2020,CNG,6.906754778648554,75502.0,1st owner,12.976183182038383,9.041685005946043,No,S,5
Tata,Manual,2022,Petrol,7.090076835776092,22894.0,1st owner,13.754699481266208,9.79322615827859,Yes,NEXON,3
Tata,Manual,2020,Petrol,7.090076835776092,42313.0,2nd owner,13.030250281476574,9.095153962167066,No,Tiago,5
Tata,Manual,2020,Petrol,7.090076835776092,58047.0,1st owner,13.28787951079572,9.353921100453707,No,ALTROZ,5
Maruti,Manual,2018,Petrol,7.288244401020124,76120.0,1st owner,13.488395803228677,9.553717287770926,Yes,Ciaz,7
Hyundai,Manual,2017,Petrol,7.088408778675395,60964.0,1st owner,13.014780393893403,9.080459451121662,No,Xcent,8
Tata,Manual,2023,Petrol,7.090076835776092,17297.0,1st owner,13.260386417460465,9.326522126265592,No,Tiago,2
Renault,Manual,2020,Petrol,6.907755278982137,34646.0,1st owner,13.29463628184505,9.360396968182862,No,TRIBER,5
Maruti,Automatic,2018,Petrol,7.288244401020124,45254.0,2nd owner,13.440091026807503,9.505395198757377,No,Ciaz,7
Maruti,Automatic,2022,Petrol,7.288244401020124,24062.0,1st owner,13.855693308211437,9.893992617974327,No,Ciaz,3
Hyundai,Manual,2016,Petrol,7.088408778675395,28221.0,1st owner,13.030250281476574,9.09627541568821,No,Grand,9
Maruti,Manual,2022,Petrol,7.288244401020124,43830.0,1st owner,13.994494049612765,10.033023473885162,No,XL6,3
Maruti,Automatic,2016,Petrol,6.906754778648554,21218.0,1st owner,12.834683971615659,8.89877535906107,No,Wagon,9
Hyundai,Manual,2020,CNG,6.99117688712121,62996.0,1st owner,13.130333531178522,9.194820560318146,Yes,NEW,5
Maruti,Automatic,2022,Petrol,7.288244401020124,40395.0,2nd owner,13.957010988293153,9.995519637982621,No,XL6,3
Maruti,Automatic,2017,Petrol,7.088408778675395,42752.0,1st owner,13.248116346376765,9.31343832997975,No,Baleno,8
Maruti,Manual,2019,Petrol,7.288244401020124,59733.0,1st owner,13.529162262303307,9.594445640962938,No,Ciaz,6
Maruti,Manual,2017,Petrol,7.2254814727822945,92389.0,1st owner,13.316285717486736,9.381179591661104,No,Ciaz,8
Hyundai,Manual,2020,Petrol,6.906754778648554,36125.0,1st owner,13.66932920519293,9.707837565530841,No,VENUE,5
Maruti,Manual,2020,Petrol,7.288244401020124,26202.0,1st owner,13.623139877437296,9.661670735956298,No,Ciaz,5
Volkswagen,Manual,2022,Petrol,6.907755278982137,27653.0,1st owner,13.729953758926653,9.76846934085804,No,VIRTUS,3
Honda,Automatic,2016,Petrol,7.311886164077165,61033.0,2nd owner,13.256896018612155,9.321344930019094,No,City,9
KIA,Manual,2023,Petrol,7.088408778675395,7907.0,1st owner,13.707926460869462,9.746482803725963,Yes,SONET,2
MG,Manual,2020,Petrol,7.280697195384741,26793.0,1st owner,13.942144089954521,9.980680048366034,No,HECTOR,5
Volkswagen,Automatic,2023,Petrol,6.907755278982137,9083.0,1st owner,14.139404735705671,10.146918907547057,No,VIRTUS,2
Tata,Manual,2018,Petrol,7.090076835776092,50015.0,2nd owner,12.82396003700373,8.888204871455022,No,Tiago,7
Nissan,Manual,2022,Petrol,6.907755278982137,22517.0,1st owner,13.239258908233676,9.304012847838818,No,MAGNITE,3
Skoda,Automatic,2017,Petrol,7.377133712833954,100001.0,2nd owner,13.210376086227196,9.4054136126953,No,Rapid,8
Maruti,Manual,2023,Petrol,7.088408778675395,14887.0,1st owner,13.366095129723817,9.431401757086068,No,Swift,2
Honda,Manual,2020,Petrol,7.090076835776092,48004.0,2nd owner,13.108266481420335,9.173572647783969,No,Amaze,5
Maruti,Manual,2012,Petrol,7.2254814727822945,52706.0,2nd owner,12.706850963741102,9.301916315463393,No,Ertiga,13
Toyota,Manual,2020,Petrol,7.311218384419629,37628.0,1st owner,13.596111238258136,9.634823485920109,No,YARIS,5
Datsun,Manual,2018,CNG,7.089243155027514,23055.0,2nd owner,12.709876675502672,8.775240458738327,No,Go,7
Maruti,Manual,2023,Petrol,6.906754778648554,14943.0,1st owner,13.005831808336863,9.071193240566025,No,Alto,2
Nissan,Manual,2022,Petrol,6.907755278982137,20338.0,1st owner,13.214032390746006,9.279399907907678,No,MAGNITE,3
Hyundai,Automatic,2024,Petrol,7.088408778675395,3295.0,1st owner,13.78916760931819,9.827470066112213,Yes,NEW,1
Mahindra,Manual,2020,Petrol,7.089243155027514,19376.0,1st owner,13.06896471037963,9.1345386585599,Yes,KUV,5
Nissan,Manual,2022,Petrol,6.907755278982137,31760.0,1st owner,13.228525371792253,9.294681520409934,No,MAGNITE,3
Mahindra,Manual,2021,Petrol,7.513709247839705,37303.0,1st owner,14.139404735705671,10.146918907547057,Yes,XUV700,4
Maruti,Manual,2022,Petrol,7.088408778675395,25782.0,1st owner,13.395440819535605,9.460709909543985,No,Baleno,3
Hyundai,Manual,2022,Petrol,7.088408778675395,25523.0,1st owner,13.720101473269022,9.758114899520375,No,VENUE,3
Hyundai,Manual,2022,Petrol,7.311886164077165,19352.0,1st owner,13.913545204853543,9.95208722237219,Yes,Creta,3
Honda,Manual,2021,Petrol,7.312553498102598,28398.0,1st owner,13.890618958094434,9.929155299284705,No,City,4
